index,product,category,brand,brand_id,price
214,Chocolate Shake With Real Belgian Chocolate,"Bakery, Cakes & Dairy",Sunf,Sunf,35
215,Caker Swiss Roll Cake - Chocolate,"Bakery, Cakes & Dairy",Sunf,Sunf,60
216,Wonderz Milk Nutshake - Kesar Badam,"Bakery, Cakes & Dairy",Sunf,Sunf,105
217,Cookies - Atta Desi Ghee,"Bakery, Cakes & Dairy",Tast,Tast,149
218,Rusk - Garlic,"Bakery, Cakes & Dairy",Tast,Tast,60
219,Cookies - Honey & Corn Flakes,"Bakery, Cakes & Dairy",Tast,Tast,249
220,Biscuits - Osmania,"Bakery, Cakes & Dairy",Tast,Tast,178
221,Biscuits - Fruit,"Bakery, Cakes & Dairy",Tast,Tast,89
222,Eggless Vanilla Chocolate Cupcakes,"Bakery, Cakes & Dairy",The ,The ,135
223,Gluten - Free Chocolate Cake,"Bakery, Cakes & Dairy",The ,The ,260
224,Eggless Chocolate Overload Cupcakes,"Bakery, Cakes & Dairy",The ,The ,139
225,100% Wholewheat Sourdough Fourgrain,"Bakery, Cakes & Dairy",The ,The ,209
226,Pizza Base - Sourdough 100% Wholewheat,"Bakery, Cakes & Dairy",The ,The ,75
227,100% Wholewheat Lemon Loaf With Honey,"Bakery, Cakes & Dairy",The ,The ,139
228,Sterilised Double Toned Flavored Milk - Pista,"Bakery, Cakes & Dairy",THIR,THIR,25
229,Sterilised Double Toned Flavored Milk - Strawberry,"Bakery, Cakes & Dairy",THIR,THIR,25
230,Baked Pita Bread Crisps - Chilli & Garlic,"Bakery, Cakes & Dairy",Wing,Wing,150
231,Probiotic Health Drink,"Bakery, Cakes & Dairy",Yaku,Yaku,280
232,Probiotic Health Drink - Light,"Bakery, Cakes & Dairy",Yaku,Yaku,85
233,Body Buddy Protein Shake - Caramel Coffee Flavour,"Bakery, Cakes & Dairy",Zago,Zago,150
234,Baby Bath - Daily Moisturising,Baby Care,Aveeno,Avee,799
235,Daily Moisturising Baby Lotion,Baby Care,Aveeno,Avee,799
236,Baby Moisture Cream Soothing Relief,Baby Care,Aveeno,Avee,999
237,Rich Moisture Baby Shampoo,Baby Care,Baby Dove,Baby,350
238,Rich Moisture Bar,Baby Care,Baby Dove,Baby,52
239,Rich Moisture Baby Wipes,Baby Care,Baby Dove,Baby,135
240,Pampers Pants Diapers - Medium Size 80pcs + Sebamed Baby Wash - Extra Soft 400ml,Baby Care,bb Combo,bb C,1778
241,Pampers Pants Diapers - Medium Size 80pcs + Sebamed Baby Wash - Extra Soft 400ml,Baby Care,bb Combo,bb C,1778
242,Smart Baby Diaper Pants - Medium,Baby Care,Bebe,Bebe,1049
243,Smart Baby Diaper Pants - XL,Baby Care,Bebe,Bebe,1049
244,Smart Baby Diaper Pants - Small,Baby Care,Bebe,Bebe,1049
245,Smart Baby Diaper Pants - Large,Baby Care,Bebe,Bebe,1049
246,Baby Happy Small - 44 Diapers,Baby Care,Bella,Bell,529
247,Baby Happy Large - 48 Diapers,Baby Care,Bella,Bell,739
248,Diapers For Newborn - 2-5 Kg,Baby Care,Bella baby Happy,Bell,699
249,Baby Skincare Wipes - Fresh,Baby Care,bigbasket,bigb,169
250,Baby Skin Care Wipes - Cherry Blossom,Baby Care,bigbasket,bigb,169
